,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
25,Bronx,Co-op City,40.87429419303012,-73.82993910812398,Co Op City Lil League Field,40.87585277,-73.82441818714142,Baseball Field
26,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Fish & Ting,40.88553926848355,-73.82915130799964,Caribbean Restaurant
27,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Cozy Cottage Restaurant,40.88633207186384,-73.82761561924221,Diner
28,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Mario's Pizza,40.88862762439113,-73.83126012557018,Pizza Place
29,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Dyre Fish Market,40.889317642958616,-73.83145257358296,Seafood Restaurant
30,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Dunkin',40.88538419291817,-73.8280987591753,Donut Shop
31,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Dyre Deli Grocery,40.88823525219036,-73.8312823268945,Deli / Bodega
32,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Golden Krust Caribbean Restaurant,40.88854318502737,-73.83127757319923,Caribbean Restaurant
33,Bronx,Eastchester,40.887555677350775,-73.82780644716412,BowlerLand,40.88601990111869,-73.82320747767668,Bowling Alley
34,Bronx,Eastchester,40.887555677350775,-73.82780644716412,McDonald's,40.88563631373264,-73.82683955509486,Fast Food Restaurant
35,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Dyre Ave Diner,40.887968729082246,-73.83141284372412,Diner
36,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Royal Caribbean Bakery,40.888251933965,-73.83145707477787,Caribbean Restaurant
37,Bronx,Eastchester,40.887555677350775,-73.82780644716412,MTA New York City Bus/Bee Line - Bx16/Bx30/W60/W61/W62 (Pelham/Co-op City/White Plains/Port Chester) @ Boston Road and Conner Street,40.88594,-73.82787,Bus Stop
38,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Imperial beverage center,40.889146992600836,-73.82929692582755,Food & Drink Shop
39,Bronx,Eastchester,40.887555677350775,-73.82780644716412,NYW&B Railway - Baychester,40.887882155187874,-73.83116319314648,Platform
40,Bronx,Eastchester,40.887555677350775,-73.82780644716412,MTA Bus - BX 16,40.88790343813609,-73.83125388185631,Bus Station
41,Bronx,Eastchester,40.887555677350775,-73.82780644716412,MTA Subway - Eastchester/Dyre Ave (5),40.88798538407525,-73.83138309969671,Metro Station
42,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Xing Lung Chinese Restaurant,40.8887854684858,-73.83122576835156,Chinese Restaurant
43,Bronx,Eastchester,40.887555677350775,-73.82780644716412,MTA Bus & Bee Line Bx16/W52 @ Dyre Avenue and Light Street,40.88816692651784,-73.83152504085197,Bus Stop
44,Bronx,Eastchester,40.887555677350775,-73.82780644716412,NYCT - Y3 Yard Track(s) (5),40.88710840323387,-73.8316011428833,Metro Station
45,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Sunshine Supermarket,40.888868844071744,-73.83128840402118,Deli / Bodega
46,Bronx,Eastchester,40.887555677350775,-73.82780644716412,Hostess Cakes,40.884688,-73.826647,Bakery
47,Bronx,Eastchester,40.887555677350775,-73.82780644716412,MTA MaBSTOA Bus Bx16 / Bx30 and Bee-line Route 52 / 60 / 61 / 62 at Dyre Ave / Boston Road (US 1),40.88461356066747,-73.83152944427044,Bus Station
48,Bronx,Fieldston,40.89543742690383,-73.90564259591682,Fieldston Road Circle,40.89448851736085,-73.90562087134356,Plaza
49,Bronx,Fieldston,40.89543742690383,-73.90564259591682,Riverside Drive,40.896507486527454,-73.90826091791374,River
50,Bronx,Fieldston,40.89543742690383,-73.90564259591682,MTA MaBSTOA Bus Bx7 / Bx10 / Bx20 / BxM1 / BxM2 / BxM18 at 246th St. / Hudson Parkway,40.89354823043404,-73.90815138816833,Bus Station
51,Bronx,Fieldston,40.89543742690383,-73.90564259591682,Playground @ Briar Hill,40.892987544093614,-73.90854898437728,Playground
52,Bronx,Riverdale,40.890834493891305,-73.9125854610857,Riverdale Ave,40.890424929507866,-73.91024841803598,Plaza
